,Albany,Allegany,Bronx,Broome,Cattaraugus,Cayuga,Chautauqua,Chemung,Chenango,Clinton,Columbia,Cortland,Delaware,Dutchess,Erie,Essex,Franklin,Fulton,Genesee,Greene,Hamilton,Herkimer,Jefferson,Kings,Lewis,Livingston,Madison,Monroe,Montgomery,Nassau,New York,Niagara,Oneida,Onondaga,Ontario,Orange,Orleans,Oswego,Otsego,Putnam,Queens,Rensselaer,Richmond,Rockland,Saratoga,Schenectady,Schoharie,Schuyler,Seneca,Steuben,St. Lawrence,Suffolk,Sullivan,Tioga,Tompkins,Ulster,Warren,Washington,Wayne,Westchester,Wyoming,Yates
105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10167,,,,,,,,,,,,,,,,,,,,,11965,,,,,,,,,,
106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10168,,,,,,,,,,,,,,,,,,,,,11967,,,,,,,,,,
107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10169,,,,,,,,,,,,,,,,,,,,,11968,,,,,,,,,,
108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10170,,,,,,,,,,,,,,,,,,,,,11969,,,,,,,,,,
109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10171,,,,,,,,,,,,,,,,,,,,,11970,,,,,,,,,,
110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10172,,,,,,,,,,,,,,,,,,,,,11971,,,,,,,,,,
111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10173,,,,,,,,,,,,,,,,,,,,,11972,,,,,,,,,,
112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10174,,,,,,,,,,,,,,,,,,,,,11973,,,,,,,,,,
113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10175,,,,,,,,,,,,,,,,,,,,,11975,,,,,,,,,,
114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10176,,,,,,,,,,,,,,,,,,,,,11976,,,,,,,,,,
115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10177,,,,,,,,,,,,,,,,,,,,,11977,,,,,,,,,,
116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10178,,,,,,,,,,,,,,,,,,,,,11978,,,,,,,,,,
117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10179,,,,,,,,,,,,,,,,,,,,,11980,,,,,,,,,,
118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
